Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"Now Foods, E-1000 with Mixed Tocopherols, 670 mg (1,000 IU), 100 Softgels",40.76,172.0,0.67,supplements,4.7,0,0,0,0,0,0,1
"Natural Factors, CranRich, Super Strength, Cranberry Concentrate, 500 mg, 90 Capsules",13.15,5836.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Chitosan, 500 mg, 240 Veg Capsules",33.35,3451.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Nordic Naturals, Ultimate Omega, Lemon, 1,280 mg, 120 Soft Gels",66.27,5429.0,0.28,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, 100% Whey Protein Isolate, Dark Chocolate, 2 lbs (907 g)",39.02,4673.0,907.0,supplements,4.5,0,0,0,0,0,0,1
"Xtend, The Original 7G BCAA, Mango Madness, 14.8 oz (420 g)",39.0,3638.0,420.0,supplements,4.6,0,0,0,0,0,0,1
"Natural Factors, Magnesium Citrate, 150 mg, 180 Capsules",16.81,9402.0,0.15,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Double Strength Silymarin, 300 mg, 100 Veg Capsules",19.26,17239.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Super Collagen Plus Vitamin C, 6,000 mg, 180 Tablets",17.37,1971.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Copper, 2 mg, 100 VegCaps",6.96,4349.0,0.002,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, L-Lysine, 1,000 mg, 250 Tablets",25.93,8222.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Maca, Raw, 750 mg, 90 Veg Capsules",16.98,6977.0,0.75,supplements,4.4,0,0,0,0,0,0,1
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit Flavor, 3,000 mg, 16 fl oz (480 ml)",62.41,1157.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Solgar, Evening Primrose Oil, 1,300 mg,  60 Softgels ",19.03,5240.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"Youtheory, Collagen, 6,000 mg, 120 Tablets",14.97,9229.0,0.0,supplements,4.6,0,0,0,0,0,0,1
"KAL, Magnesium Taurate +, 400 mg, 180 Tablets",42.12,11156.0,0.4,supplements,4.9,0,0,0,0,0,0,1
"Solaray, Tongkat Ali, 400 mg, 60 VegCaps",9.8,448.0,0.4,supplements,4.5,0,0,0,0,0,0,1
"Natrol, Omega-3 Fish Oil, Natural Lemon Flavor, 1,000 mg, 150 Softgels",17.15,7272.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Apple Pectin, 700 mg, 120 Veg Capsules",16.66,3847.0,0.7,supplements,4.6,0,0,0,0,0,0,1
"Natural Factors, Eye Factors with 2 mg Lutein, 90 Capsules",11.69,5478.0,0.002,supplements,4.5,0,0,0,0,0,0,1
"Thompson, Rutin, 500 mg, 60 Tablets",7.48,4390.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Extra Strength Melatonin, 10 mg, 100 Veg Capsules",16.66,1587.0,0.01,supplements,4.6,0,0,0,0,0,0,1
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Veggie Caps",29.1,13681.0,0.1,supplements,4.6,0,0,0,0,0,0,1
"Solgar, Vitamin C, 1,000 mg, 90 Tablets",16.26,2767.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Solaray, Quercetin, 500 mg, 90 VegCaps",22.79,768.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Potassium Citrate Pure Powder, 12 oz (340 g)",12.04,2434.0,340.0,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, L-Glutamine, 500 mg, 120 Veg Capsules",13.89,2458.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Fisetin with Novusetin, 100 mg, 30 Veggie Capsules",21.85,417.0,0.1,supplements,4.5,0,0,0,0,0,0,1
"Doctor's Best, CoQ10 100 mg, PQQ 20 mg, 60 Veggie Caps",53.07,1721.0,0.1,supplements,4.8,0,0,0,0,0,0,1
"Natural Factors, BioCoenzymated, B6, Pyridoxal 5'-Phosphate, 50 mg, 30 Vegetarian Capsules",7.3,1526.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Foods Alive, Superfood, Non-Fortified Nutritional Yeast, 6 oz (170 g)",12.89,3016.0,170.0,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, High Absorption Magnesium 100% Chelated with Albion Minerals, 100 mg, 240 Tablets",28.08,46835.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Chlorella, 1,000 mg, 120 Tablets",22.22,3726.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Astaxanthin, AstaLif Pure Icelandic, 12 mg, 30 Veggie Softgels",20.29,9842.0,0.012,supplements,4.6,0,0,0,0,0,0,1
"Jarrow Formulas, Inositol, 750 mg, 100 Veggie Caps",19.4,4234.0,0.75,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Super Primrose, Evening Primrose Oil, 1300 mg, 120 Softgels",23.16,4199.0,1.3,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Magnesium Citrate, 200 mg, 250 Tablets",27.79,4581.0,0.2,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Vitamin C with Rose Hips, 1,000 mg, 110 Tablets",10.43,1726.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Natural Factors, Lutein, 40 mg, 60 Softgels",24.11,1103.0,0.04,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, C-1000, With 100 mg of Bioflavonoids, 250 Veg Capsules",25.93,3191.0,0.1,supplements,4.8,0,0,0,0,0,0,1
"21st Century, Iron, 65 mg, 120 Tablets",5.81,3236.0,0.065,supplements,4.6,0,0,0,0,0,0,1
"Nordic Naturals, Children's DHA, Ages 1-6, Strawberry, 530 mg, 4 fl oz (119 ml)",23.82,16797.0,0.53,supplements,4.8,0,0,0,0,0,0,1
